Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Founded,Company Industry,Company Revenue,Country,State
Coordinator,Brisbane,Bechtel,89163,75000,106000,10000+ Employees,Company - Private,"Construction, Repair & Maintenance Services",1898.0,Architectural & Engineering Services,$10+ billion (USD),Australia,Queensland
Mobile Engineer,Eight Mile Plains,M3DICINE,87687,77000,99000,1 to 50 Employees,Company - Private,,,,Unknown / Non-Applicable,Australia,Queensland
Construction Estimator,Brisbane,KBR,112338,72000,177000,10000+ Employees,Company - Public,Aerospace & Defence,1901.0,Aerospace & Defence,$5 to $10 billion (USD),Australia,Queensland
Process Engineer,Brisbane,SLR Consulting,96181,74000,125000,1001 to 5000 Employees,Company - Private,Management & Consulting,1994.0,Business Consulting,$25 to $50 million (USD),Australia,Queensland
Software Developer,Brisbane,Hexagon Geosystems,106860,94000,121000,1001 to 5000 Employees,Company - Public,Information Technology,1992.0,Computer Hardware Development,$500 million to $1 billion (USD),Australia,Queensland
Junior Systems Administrator,Brisbane,Arup,80821,80000,82000,10000+ Employees,Company - Private,"Construction, Repair & Maintenance Services",1946.0,Architectural & Engineering Services,$100 to $500 million (USD),Australia,Queensland
Junior Systems Administrator,Brisbane,Arup,80821,80000,82000,10000+ Employees,Company - Private,"Construction, Repair & Maintenance Services",1946.0,Architectural & Engineering Services,$100 to $500 million (USD),Australia,Queensland
Lead Technical Manager,Brisbane,Virgin Australia,135130,110000,166000,5001 to 10000 Employees,Company - Private,Transportation & Logistics,2000.0,"Airlines, Airports & Air Transportation",Unknown / Non-Applicable,Australia,Queensland
Clinical Laboratory Scientist,East Brisbane,IDEXX,69735,66000,74000,10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,1983.0,Biotech & Pharmaceuticals,$2 to $5 billion (USD),Australia,Queensland
Territory Manager,Brisbane,Smith & Nephew,128407,124000,133000,10000+ Employees,Company - Private,Manufacturing,1856.0,Health Care Products Manufacturing,$2 to $5 billion (USD),Australia,Queensland
Quantitative Analyst,Maroochydore,Edge Stackers,112606,101000,125000,1 to 50 Employees,Company - Private,,,,Unknown / Non-Applicable,Australia,Queensland
Quantitative Analyst,Maroochydore,Edge Stackers,112606,101000,125000,1 to 50 Employees,Company - Private,,,,Unknown / Non-Applicable,Australia,Queensland
Environmental Scientist,Brisbane,Epic Environmental,84076,65000,109000,1 to 50 Employees,Company - Private,,,,Unknown / Non-Applicable,Australia,Queensland
Data Engineer,Brisbane,Ventia Pty Limited,109430,96000,125000,5001 to 10000 Employees,Company - Public,"Construction, Repair & Maintenance Services",2015.0,Construction,$25 to $50 million (USD),Australia,Queensland
Data Engineer,Brisbane,Ventia Pty Limited,109430,96000,125000,5001 to 10000 Employees,Company - Public,"Construction, Repair & Maintenance Services",2015.0,Construction,$25 to $50 million (USD),Australia,Queensland
Field Service Engineer,Brisbane,Smiths Group,85588,73000,100000,51 to 200 Employees,Company - Private,Restaurants & Food Service,2000.0,Restaurants & Cafes,Unknown / Non-Applicable,Australia,Queensland
Graduate IT Specialist,Brisbane,Origin Energy,140649,126000,157000,5001 to 10000 Employees,Company - Public,"Energy, Mining, Utilities",,Energy & Utilities,$10+ billion (USD),Australia,Queensland
Research Analyst,Brisbane,Athlete2Business,64273,51000,81000,Unknown,Company - Private,,,,Unknown / Non-Applicable,Australia,Queensland
Graduate IT Specialist,Brisbane,Origin Energy,140649,126000,157000,5001 to 10000 Employees,Company - Public,"Energy, Mining, Utilities",,Energy & Utilities,$10+ billion (USD),Australia,Queensland
Research Analyst,Australia,St. Joseph's College,57000,52000,62000,501 to 1000 Employees,College / University,Education,1916.0,Colleges & Universities,$100 to $500 million (USD),Australia,Queensland
Electronics Engineer,Queensland,Australian Antarctic Division,92076,92000,92000,501 to 1000 Employees,Government,Government & Public Administration,1948.0,National Services & Agencies,Unknown / Non-Applicable,Australia,Queensland
Mobile Engineer,Surfers Paradise,"Anonyome Labs, Inc.",111394,83000,140000,,,,,,,Australia,Queensland
Quality Specialist,Atherton,Costa Group - Berry Category,70000,65000,75000,,,,,,,Australia,Queensland
Senior Lead Software Development Engineer in Test,Stafford,Zetron,92092,77000,111000,201 to 500 Employees,Subsidiary or Business Segment,Telecommunications,1959.0,Telecommunications Services,$25 to $50 million (USD),Australia,Queensland
Regional Sales Manager,Brisbane,Johnson & Johnson,120355,116000,125000,10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,1887.0,Biotech & Pharmaceuticals,$10+ billion (USD),Australia,Queensland
Navy Careers (No Experience Required),Queensland,Royal Australian Navy,82500,75000,90000,10000+ Employees,Government,Government & Public Administration,,National Services & Agencies,Unknown / Non-Applicable,Australia,Queensland
Advisor,Brisbane,Bechtel,127365,114000,142000,10000+ Employees,Company - Private,"Construction, Repair & Maintenance Services",1898.0,Architectural & Engineering Services,$10+ billion (USD),Australia,Queensland
Mobile Engineer,Surfers Paradise,"Anonyome Labs, Inc.",111394,83000,140000,,,,,,,Australia,Queensland
Electronics Engineer,Queensland,Australian Antarctic Division,92076,92000,92000,501 to 1000 Employees,Government,Government & Public Administration,1948.0,National Services & Agencies,Unknown / Non-Applicable,Australia,Queensland
Quality Specialist,Atherton,Costa Group - Berry Category,70000,65000,75000,,,,,,,Australia,Queensland
Senior Product Specialist,Toowoomba,Stryker South Pacific,105000,105000,105000,,,,,,,Australia,Queensland
Regional Sales Manager,Brisbane,Johnson & Johnson,120355,116000,125000,10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,1887.0,Biotech & Pharmaceuticals,$10+ billion (USD),Australia,Queensland
Coordinator,Brisbane,Bechtel,89163,75000,106000,10000+ Employees,Company - Private,"Construction, Repair & Maintenance Services",1898.0,Architectural & Engineering Services,$10+ billion (USD),Australia,Queensland
Navy Careers (No Experience Required),Queensland,Royal Australian Navy,82500,75000,90000,10000+ Employees,Government,Government & Public Administration,,National Services & Agencies,Unknown / Non-Applicable,Australia,Queensland
Training Specialist,Milton,National Parks Association of Queensland,48000,48000,48000,,,,,,,Australia,Queensland
Senior Lead Software Development Engineer in Test,Stafford,Zetron,92092,77000,111000,201 to 500 Employees,Subsidiary or Business Segment,Telecommunications,1959.0,Telecommunications Services,$25 to $50 million (USD),Australia,Queensland
Graduate Data Scientist,Brisbane,Caterpillar,110833,83000,148000,10000+ Employees,Company - Public,Manufacturing,1925.0,Machinery Manufacturing,$10+ billion (USD),Australia,Queensland
Training Specialist,Milton,National Parks Association of Queensland,48000,48000,48000,,,,,,,Australia,Queensland
Junior Systems Administrator,Brisbane,Arup,80821,80000,82000,10000+ Employees,Company - Private,"Construction, Repair & Maintenance Services",1946.0,Architectural & Engineering Services,$100 to $500 million (USD),Australia,Queensland
Senior Product Specialist,Toowoomba,Stryker South Pacific,105000,105000,105000,,,,,,,Australia,Queensland
Dental Hygienist,Brisbane,Bechtel,87121,66000,115000,10000+ Employees,Company - Private,"Construction, Repair & Maintenance Services",1898.0,Architectural & Engineering Services,$10+ billion (USD),Australia,Queensland
Coordinator,Brisbane,Bechtel,89163,75000,106000,10000+ Employees,Company - Private,"Construction, Repair & Maintenance Services",1898.0,Architectural & Engineering Services,$10+ billion (USD),Australia,Queensland
Quantitative Analyst,Maroochydore,Edge Stackers,112606,101000,125000,1 to 50 Employees,Company - Private,,,,Unknown / Non-Applicable,Australia,Queensland
Data Engineer,Brisbane,Ventia Pty Limited,109430,96000,125000,5001 to 10000 Employees,Company - Public,"Construction, Repair & Maintenance Services",2015.0,Construction,$25 to $50 million (USD),Australia,Queensland
Junior Systems Administrator,Brisbane,Arup,80821,80000,82000,10000+ Employees,Company - Private,"Construction, Repair & Maintenance Services",1946.0,Architectural & Engineering Services,$100 to $500 million (USD),Australia,Queensland
Graduate IT Specialist,Brisbane,Origin Energy,140649,126000,157000,5001 to 10000 Employees,Company - Public,"Energy, Mining, Utilities",,Energy & Utilities,$10+ billion (USD),Australia,Queensland
Data Scientist,Brisbane,Veitch Lister Consulting,111445,89000,140000,51 to 200 Employees,Company - Private,,,,Unknown / Non-Applicable,Australia,Queensland
Data Engineer,Brisbane,Ventia Pty Limited,109430,96000,125000,5001 to 10000 Employees,Company - Public,"Construction, Repair & Maintenance Services",2015.0,Construction,$25 to $50 million (USD),Australia,Queensland
Quantitative Analyst,Maroochydore,Edge Stackers,112606,101000,125000,1 to 50 Employees,Company - Private,,,,Unknown / Non-Applicable,Australia,Queensland
Graduate IT Specialist,Brisbane,Origin Energy,140649,126000,157000,5001 to 10000 Employees,Company - Public,"Energy, Mining, Utilities",,Energy & Utilities,$10+ billion (USD),Australia,Queensland
Electronics Engineer,South Australia,Australian Antarctic Division,92076,92000,92000,501 to 1000 Employees,Government,Government & Public Administration,1948.0,National Services & Agencies,Unknown / Non-Applicable,Australia,South Australia
Navy Careers (No Experience Required),South Australia,Royal Australian Navy,82500,75000,90000,10000+ Employees,Government,Government & Public Administration,,National Services & Agencies,Unknown / Non-Applicable,Australia,South Australia
Software Engineer,Adelaide,MyBudget,85000,80000,90000,,,,,,,Australia,South Australia
Assistant Trainer,Adelaide,Avance Clinical,46733,34000,65000,51 to 200 Employees,Company - Private,Pharmaceutical & Biotechnology,1996.0,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Australia,South Australia
Associate Research Assistant,South Australia,University of South Australia,89612,74000,105000,1001 to 5000 Employees,Contract,Education,,Colleges & Universities,$500 million to $1 billion (USD),Australia,South Australia
GIS Analyst,Adelaide,AECOM,73103,64000,84000,10000+ Employees,Company - Public,"Construction, Repair & Maintenance Services",1990.0,Architectural & Engineering Services,$10+ billion (USD),Australia,South Australia
